,ENSG00000242268.2,ENSG00000259041.1,ENSG00000270112.3,ENSG00000167578.16,ENSG00000078237.5,ENSG00000269416.5,ENSG00000146083.11,ENSG00000158486.13,ENSG00000273639.4,ENSG00000198242.13,ENSG00000231981.3,ENSG00000269475.2,ENSG00000134108.12,ENSG00000261030.1,ENSG00000172137.18,ENSG00000276644.4,ENSG00000240423.1,ENSG00000271616.1,ENSG00000234881.1,ENSG00000236040.1,ENSG00000231105.1,ENSG00000094963.13,ENSG00000182141.9,ENSG00000280143.1,ENSG00000251334.2,ENSG00000231112.1,ENSG00000258610.1,ENSG00000264981.1,ENSG00000275265.1,ENSG00000185105.4,ENSG00000233540.1,ENSG00000102174.8,ENSG00000166391.14,ENSG00000232001.1,ENSG00000270469.1,ENSG00000234253.1,ENSG00000070087.13,ENSG00000262950.1,ENSG00000255420.1,ENSG00000280038.1,ENSG00000153561.12,ENSG00000251538.5,ENSG00000269148.1,ENSG00000253438.2,ENSG00000235411.1,ENSG00000179262.9,ENSG00000278099.1,ENSG00000104833.10,ENSG00000166368.2,ENSG00000206072.12,ENSG00000006695.10,ENSG00000258630.1,ENSG00000187513.8,ENSG00000225269.2,ENSG00000214062.5,ENSG00000095587.8,ENSG00000167700.8,ENSG00000274219.1,ENSG00000254102.1,ENSG00000265096.1,ENSG00000064601.16,ENSG00000227766.1,ENSG00000008517.16,ENSG00000261475.2,ENSG00000229637.3,ENSG00000266644.1,ENSG00000227896.2,ENSG00000214541.3,ENSG00000070081.15,ENSG00000166634.6,ENSG00000275479.1,ENSG00000112309.10,ENSG00000261789.1,ENSG00000254092.1,ENSG00000158480.10,ENSG00000197421.9,ENSG00000280171.1,ENSG00000260900.1,ENSG00000266579.1,ENSG00000278732.1,ENSG00000196167.9,ENSG00000264438.2,ENSG00000254131.1,ENSG00000118972.1,ENSG00000264104.1,ENSG00000179833.4,ENSG00000165312.6,ENSG00000159618.15,ENSG00000064225.12,ENSG00000250571.6,ENSG00000057294.13,ENSG00000226530.1,ENSG00000134709.10,ENSG00000166007.11,ENSG00000171861.10,ENSG00000278923.1,ENSG00000167768.4,ENSG00000273637.1,ENSG00000280159.1,ENSG00000232216.1
TCGA-CJ-6028-01,-3.3076,-9.9658,-4.035,4.4463,2.4649,-5.0116,4.6877,0.1388,-9.9658,9.5323,-4.2934,-9.9658,5.2342,-4.6082,-1.4699,0.2642,-9.9658,-9.9658,-9.9658,-9.9658,-2.0529,4.3604,1.8683,1.5266,-9.9658,-9.9658,2.2391,-9.9658,-9.9658,-6.5064,-9.9658,-0.9406,-3.816,-9.9658,-3.0469,-9.9658,6.0,-9.9658,-9.9658,-4.035,3.97,-9.9658,-4.6082,-4.035,-9.9658,6.4772,-9.9658,2.6232,-9.9658,-9.9658,2.1378,-9.9658,4.3834,-5.5735,-9.9658,-3.6259,1.3167,-9.9658,-3.458,1.2875,7.2233,0.2029,9.3836,-9.9658,-3.6259,-3.816,-4.035,-9.9658,6.8877,-9.9658,-9.9658,-2.2447,-9.9658,-3.1714,1.9675,0.2154,-9.9658,-9.9658,-9.9658,-9.9658,1.8643,-9.9658,-9.9658,-9.9658,-9.9658,4.7539,3.7149,1.0642,3.2707,1.7185,3.2374,-1.3548,2.7993,-9.9658,2.7183,-9.9658,-3.816,-9.9658,-5.5735,5.8141
GTEX-11ONC-2826-SM-5P9GQ,-0.5332,-9.9658,-2.1779,6.2145,1.9377,-4.035,5.2873,-0.0574,-9.9658,9.7789,-4.2934,-9.9658,4.7469,-9.9658,3.867,1.8201,-9.9658,-9.9658,-9.9658,-9.9658,-0.3566,2.5634,1.2696,3.8935,-9.9658,-9.9658,3.8925,-9.9658,-9.9658,-1.8836,-9.9658,-2.9324,-2.8262,-2.5479,-9.9658,-9.9658,5.8087,-9.9658,-9.9658,-0.4521,2.5828,-4.035,0.0854,-5.5735,-5.0116,5.9951,-9.9658,0.8647,-9.9658,-1.5522,1.2085,-9.9658,3.3814,-9.9658,-4.2934,0.434,4.3024,-9.9658,-4.6082,-3.0469,6.7154,2.7139,5.0909,-9.9658,-9.9658,-0.0425,0.4657,-9.9658,7.2339,-9.9658,2.1862,-0.5332,-5.5735,-1.9942,2.8014,-0.4921,-5.0116,-9.9658,-2.4659,-9.9658,0.0718,-9.9658,-2.0529,-9.9658,-9.9658,2.7379,2.5413,-1.0559,2.9167,4.0348,3.6983,-0.0425,3.5424,-9.9658,2.7379,-1.1172,-3.816,-9.9658,-2.114,-9.9658
TCGA-B6-A0RL-01,-9.9658,-9.9658,-6.5064,5.0343,1.2455,-4.2934,4.3965,-5.5735,-9.9658,10.4109,-3.1714,-9.9658,5.7339,-9.9658,2.1734,2.2082,-9.9658,-9.9658,-9.9658,-9.9658,-1.4305,-3.816,2.7249,-1.1172,-9.9658,-9.9658,2.9765,-9.9658,-3.816,-1.5951,-3.458,-0.6193,-4.2934,-9.9658,-2.3884,-9.9658,6.1637,-9.9658,-6.5064,-3.458,4.3625,-9.9658,-1.3183,-2.6349,-3.3076,6.2591,-9.9658,3.2405,-9.9658,-9.9658,2.8137,-2.7274,0.058,-9.9658,-4.6082,-4.2934,4.1186,-9.9658,-9.9658,-2.2447,6.3892,2.7868,2.0465,-9.9658,-9.9658,-0.4719,-0.1665,-9.9658,7.5025,-9.9658,2.5363,-1.7809,-9.9658,-9.9658,3.6849,-9.9658,-4.2934,-9.9658,-9.9658,-2.3884,-3.458,-9.9658,-0.6193,-6.5064,-9.9658,3.7149,3.3076,-1.8314,0.03,4.1053,4.2743,-9.9658,3.5779,-9.9658,3.1112,-9.9658,-9.9658,-9.9658,-2.9324,-9.9658
GTEX-N7MS-2526-SM-26GMR,-2.8262,-9.9658,1.7489,2.1894,1.0573,-2.9324,2.0912,-4.2934,-9.9658,5.9124,-0.0425,-9.9658,4.1119,-9.9658,4.1604,-0.4921,-1.3183,-9.9658,0.2029,-9.9658,-5.0116,-4.6082,3.3192,-0.1345,-9.9658,-9.9658,1.4011,-9.9658,-9.9658,-2.9324,0.688,-1.5522,-9.9658,-9.9658,-1.4699,-9.9658,5.2791,-9.9658,-9.9658,-2.4659,5.3377,-9.9658,-1.3548,-9.9658,-9.9658,3.1011,3.7561,6.7499,-2.6349,-9.9658,2.1574,-9.9658,-0.6193,-9.9658,-0.2498,-2.7274,-0.2159,-9.9658,-5.0116,-9.9658,3.6782,-9.9658,-0.4131,-9.9658,-9.9658,-0.0574,-0.2498,-9.9658,3.8954,-9.9658,-9.9658,-0.013,-9.9658,-9.9658,1.9452,-3.816,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658,-1.4699,-2.7274,-5.0116,1.8957,1.6187,-5.5735,2.8462,-0.5543,0.2881,0.6332,3.0515,-9.9658,2.0325,-9.9658,-9.9658,-9.9658,-1.5105,-9.9658
GTEX-1122O-1526-SM-5N9CL,-3.6259,-9.9658,-3.458,5.858,1.3109,2.2268,5.6499,2.0147,-9.9658,9.5212,-9.9658,-9.9658,4.6843,-9.9658,2.299,-0.1031,-9.9658,-9.9658,-9.9658,-9.9658,-2.7274,-0.4325,1.5612,2.561,-9.9658,-9.9658,0.8647,-9.9658,-9.9658,-2.1779,-9.9658,-3.3076,6.7149,-9.9658,-9.9658,-9.9658,4.5028,-9.9658,-9.9658,-1.2828,4.3646,-9.9658,-0.6193,-9.9658,-4.6082,5.5132,-9.9658,-0.4921,-9.9658,-9.9658,3.1844,-0.7834,0.7664,-0.7588,-3.6259,-1.5105,4.8213,-9.9658,-5.0116,-0.3201,8.4676,3.1844,9.0948,-9.9658,-1.3548,-9.9658,-0.2159,-9.9658,4.0109,-9.9658,0.8961,0.1519,-9.9658,-9.9658,3.4331,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,0.4552,-9.9658,-9.9658,-9.9658,-9.9658,2.5163,2.9637,-0.0574,0.7146,4.7448,5.1277,-9.9658,3.7836,-9.9658,2.685,-9.9658,-0.4131,-9.9658,-4.6082,-2.5479
TCGA-CZ-5456-01,-5.0116,-9.9658,-9.9658,3.6748,2.0289,-9.9658,4.5142,-2.3884,-9.9658,10.1743,-9.9658,-9.9658,4.208,-9.9658,-4.035,-0.8863,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,-0.7834,0.4967,0.9568,-9.9658,-9.9658,1.1184,-9.9658,-9.9658,-6.5064,-9.9658,1.3454,-6.5064,-9.9658,-9.9658,-9.9658,4.891,-9.9658,-9.9658,-2.8262,3.2781,-9.9658,-5.0116,-4.035,-9.9658,6.082,-9.9658,-1.5951,-9.9658,-9.9658,2.2663,-9.9658,3.2541,-6.5064,-9.9658,-1.8314,3.1062,-9.9658,-5.5735,1.3846,8.3291,2.4597,9.3554,-9.9658,-9.9658,-3.3076,-4.035,-9.9658,6.0128,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,2.9893,-1.5522,-5.5735,-9.9658,-9.9658,-9.9658,-0.7108,-9.9658,-9.9658,-9.9658,-9.9658,4.6018,2.6602,-0.1345,2.0776,2.2299,4.8856,-1.1488,2.8096,-9.9658,2.6487,-9.9658,-4.2934,-9.9658,-6.5064,4.1036
TCGA-F4-6704-11,-9.9658,-9.9658,-9.9658,5.426,3.5349,2.3953,4.3807,-0.2159,-9.9658,10.2661,-9.9658,-9.9658,5.0462,-5.0116,4.0331,1.3623,-5.5735,-9.9658,-9.9658,-9.9658,-2.9324,0.7579,0.7664,5.7123,-9.9658,-9.9658,-0.7588,-9.9658,-9.9658,-6.5064,-9.9658,-3.458,6.0378,-9.9658,-9.9658,-9.9658,5.1938,-9.9658,-9.9658,-2.2447,4.0357,-9.9658,-1.8836,-4.035,-3.458,6.6682,-9.9658,1.0222,-9.9658,-5.0116,3.9829,-1.1811,1.8604,-4.035,-9.9658,-1.2142,3.9654,-9.9658,-4.6082,-3.458,7.2975,1.9675,7.4136,-9.9658,4.0028,-2.7274,-2.4659,-3.458,6.4626,-9.9658,-0.013,-2.114,-9.9658,-3.458,3.9792,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,1.2875,-9.9658,-3.458,-9.9658,-9.9658,3.2752,3.0411,-0.1828,0.434,2.4701,6.3291,-2.7274,3.9496,-9.9658,3.5669,-9.9658,0.3231,-5.5735,-5.0116,2.667
TCGA-EL-A3D0-01,1.0711,-9.9658,-6.5064,4.3068,0.605,-3.816,3.9746,-6.5064,-9.9658,9.2091,-9.9658,-9.9658,5.2464,-9.9658,-6.5064,-2.114,-9.9658,-9.9658,-9.9658,-9.9658,-3.458,1.7786,1.7273,1.6281,-9.9658,-9.9658,0.5763,-9.9658,-9.9658,-9.9658,-9.9658,1.4281,-6.5064,-9.9658,-9.9658,-9.9658,6.621,-5.0116,-9.9658,-2.6349,3.0305,-5.5735,-2.114,-3.816,-9.9658,6.6668,-9.9658,-3.6259,-9.9658,-9.9658,1.8201,-9.9658,4.3779,-9.9658,-4.035,-3.816,3.4183,-9.9658,-6.5064,-5.5735,6.4697,-2.8262,4.9528,-9.9658,-9.9658,-0.013,-2.6349,-3.6259,5.6832,-9.9658,1.1117,-1.8836,-9.9658,-9.9658,2.0395,1.5902,-9.9658,-9.9658,-9.9658,-9.9658,2.4675,-9.9658,-3.816,-9.9658,-9.9658,4.2381,4.0454,-0.1828,0.6239,2.2513,2.0638,-2.114,2.4225,-9.9658,2.8014,-9.9658,-4.6082,-5.0116,-3.6259,-9.9658
TCGA-EM-A22Q-01,-2.114,-9.9658,-9.9658,5.2899,-0.4325,-3.1714,2.3048,-5.0116,-9.9658,8.8126,-9.9658,-9.9658,3.6804,-9.9658,-2.2447,-9.9658,-4.6082,-9.9658,-9.9658,-9.9658,-5.5735,-2.1779,-1.2142,1.5266,-9.9658,-9.9658,3.0842,-9.9658,-9.9658,-9.9658,-9.9658,2.4908,-9.9658,-3.0469,-9.9658,-9.9658,5.6871,-9.9658,-9.9658,-3.458,1.2023,-9.9658,-9.9658,-2.9324,-4.6082,3.9874,-9.9658,-4.6082,-9.9658,-9.9658,1.3225,-9.9658,4.7887,-9.9658,-9.9658,0.5955,5.6773,-9.9658,-9.9658,-9.9658,5.4152,-9.9658,5.0449,-9.9658,-9.9658,-4.2934,-3.6259,-9.9658,6.7169,-9.9658,3.0038,-5.0116,-9.9658,-9.9658,2.0707,0.1776,-5.5735,-9.9658,-9.9658,-9.9658,1.3623,-9.9658,-9.9658,-9.9658,-9.9658,2.1988,3.1669,-2.4659,1.5806,4.1466,-9.9658,-1.7322,1.196,-9.9658,3.4971,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GTEX-1497J-1226-SM-5Q5BL,-9.9658,-9.9658,-1.0262,3.9204,-0.1504,-4.6082,2.7487,-3.6259,-9.9658,8.1243,-9.9658,-9.9658,3.0515,-9.9658,-2.4659,-0.0277,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,3.6324,-0.8599,1.8762,-9.9658,-9.9658,1.9968,-9.9658,-9.9658,0.3907,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,3.2737,-9.9658,-9.9658,-2.2447,2.2931,-9.9658,-3.6259,-6.5064,-9.9658,5.2377,-9.9658,1.3454,-5.0116,-9.9658,2.409,-9.9658,5.9031,-3.6259,-9.9658,-0.6873,3.1179,-9.9658,-5.0116,0.4552,5.4624,0.2029,6.2363,-9.9658,-9.9658,-5.0116,-2.0529,-9.9658,3.7877,-9.9658,-9.9658,-3.3076,-9.9658,-9.9658,1.0293,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-1.1172,-9.9658,-9.9658,-9.9658,-9.9658,1.2934,1.7912,-4.035,2.5437,2.9747,4.4203,-9.9658,-2.1779,-9.9658,2.2813,-9.9658,-1.5105,-9.9658,-4.2934,-9.9658
GTEX-13OW7-2726-SM-5L3HN,-9.9658,-9.9658,0.0014,5.464,1.334,-5.5735,4.7496,-4.6082,-9.9658,9.8679,-9.9658,-9.9658,4.3597,-9.9658,3.8561,3.3061,-9.9658,-9.9658,-9.9658,-9.9658,-1.2481,3.1971,0.7748,2.8542,-9.9658,-9.9658,3.97,-9.9658,-2.6349,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,4.511,-9.9658,-9.9658,-1.9942,2.6161,-9.9658,-0.013,-3.0469,-9.9658,5.7345,-9.9658,7.8792,-9.9658,-9.9658,2.0673,-9.9658,3.793,-9.9658,-9.9658,-5.0116,4.0401,-9.9658,-9.9658,3.7138,7.8643,1.2394,3.5875,-9.9658,-9.9658,-9.9658,-3.0469,-9.9658,4.9388,-9.9658,2.2842,-0.9406,-5.0116,-9.9658,2.0569,-4.035,-9.9658,-9.9658,-9.9658,-9.9658,-0.7588,-9.9658,-2.3884,-9.9658,-9.9658,2.3394,3.4398,-1.1488,4.0242,3.3661,-1.7809,-3.1714,2.043,-9.9658,2.7826,-9.9658,1.5998,-9.9658,-2.4659,-9.9658
TCGA-5P-A9KA-01,-1.9379,-9.9658,-9.9658,4.838,2.826,-9.9658,4.943,-1.9379,-9.9658,9.3075,-9.9658,-9.9658,5.079,-9.9658,-0.5125,0.3685,-9.9658,-9.9658,-9.9658,-9.9658,-3.816,1.334,1.5998,1.3956,-9.9658,-9.9658,2.8602,-9.9658,-9.9658,-6.5064,-9.9658,-4.035,-9.9658,-9.9658,-3.458,-9.9658,5.1823,-9.9658,-9.9658,-0.4921,2.9071,-9.9658,-0.8339,-2.8262,-9.9658,6.3495,-9.9658,2.8779,-9.9658,-9.9658,2.6395,-4.2934,1.2756,-5.5735,-9.9658,-0.9406,3.9251,-9.9658,-4.2934,-1.9379,7.6454,4.5274,9.0359,-9.9658,-9.9658,-1.7809,-2.5479,-9.9658,5.438,-9.9658,1.2023,-1.5105,-9.9658,-9.9658,2.8974,3.1409,-4.035,-9.9658,-9.9658,-9.9658,1.6875,-9.9658,-9.9658,-9.9658,-9.9658,3.5863,2.9128,2.0218,2.7139,3.3787,2.3479,-9.9658,4.3688,-9.9658,3.335,-9.9658,-1.8836,-3.816,-3.816,5.8664
GTEX-QLQ7-0826-SM-447B3,-3.6259,-9.9658,-6.5064,4.3378,0.8327,-4.6082,4.1931,-5.0116,-9.9658,9.139,-9.9658,-9.9658,3.7127,-9.9658,-0.9686,-1.0262,-9.9658,-9.9658,-9.9658,-9.9658,-4.2934,1.4859,0.6608,2.4198,-9.9658,-9.9658,1.1316,-9.9658,-9.9658,-3.816,-9.9658,-6.5064,0.3231,-9.9658,-9.9658,-9.9658,3.0287,-9.9658,-5.0116,-2.0529,2.0076,-9.9658,-1.5522,-9.9658,-9.9658,5.4219,-9.9658,-2.2447,-9.9658,-1.1811,2.4279,-9.9658,1.5465,-4.2934,-9.9658,-1.4305,3.2127,-9.9658,-9.9658,-9.9658,5.4784,0.1388,4.6871,-9.9658,-3.0469,-9.9658,-0.8599,-9.9658,4.6577,-9.9658,0.9642,-0.394,-9.9658,-9.9658,1.5612,-3.816,-5.5735,-9.9658,-9.9658,-9.9658,4.0645,-9.9658,-9.9658,-9.9658,-9.9658,1.4065,2.5288,0.8488,1.8119,3.335,3.2328,-9.9658,2.6371,-9.9658,3.5669,-9.9658,-1.4699,-9.9658,-3.458,3.1475
TCGA-FS-A1ZF-06,-9.9658,-9.9658,-9.9658,5.6767,4.4067,-9.9658,4.6747,-2.8262,-9.9658,9.6331,-9.9658,-2.8262,4.836,-9.9658,-2.2447,-2.3884,-9.9658,-9.9658,-9.9658,-5.5735,-3.3076,0.9568,1.4494,1.0573,-9.9658,-9.9658,2.9281,-9.9658,-9.9658,-3.1714,-9.9658,-3.0469,-6.5064,-9.9658,-2.5479,-9.9658,6.3003,-9.9658,-9.9658,-3.3076,3.8095,-9.9658,-0.0425,-1.9379,-3.458,7.4212,-9.9658,6.804,-9.9658,-9.9658,3.6972,-9.9658,3.8896,-9.9658,-5.0116,-3.0469,4.1891,-9.9658,0.3685,-1.4699,7.3835,0.547,4.6364,-9.9658,1.0363,-3.816,-3.1714,-9.9658,4.4509,-9.9658,2.2573,-3.0469,-9.9658,-9.9658,4.4443,-9.9658,-9.9658,-9.9658,-9.9658,-0.8084,-1.1811,-9.9658,-9.9658,-9.9658,-9.9658,3.3364,0.6145,-3.3076,6.3272,4.9355,-4.035,-0.8863,1.6875,-9.9658,4.3371,-9.9658,-9.9658,-9.9658,-3.1714,-1.4305
TCGA-ZN-A9VU-01,-9.9658,-9.9658,-9.9658,5.3537,2.8442,-1.3183,4.4595,-4.2934,-9.9658,10.3538,-9.9658,-9.9658,5.3502,-9.9658,11.5966,-4.2934,-5.5735,-9.9658,-9.9658,-9.9658,-4.035,2.2175,2.7336,0.5666,-9.9658,-9.9658,1.0847,-9.9658,-3.6259,-4.035,-2.2447,-2.2447,-9.9658,-9.9658,-3.1714,-9.9658,6.9837,-9.9658,-9.9658,-2.3147,4.0082,-9.9658,-9.9658,-4.6082,-9.9658,6.5721,-9.9658,2.2663,-9.9658,-5.5735,3.4318,-9.9658,1.2576,-9.9658,-4.6082,-3.1714,3.5559,-9.9658,-4.6082,-3.0469,6.6405,3.6451,5.7835,-9.9658,-3.1714,-9.9658,-3.1714,-9.9658,7.6711,-9.9658,-9.9658,-3.6259,-9.9658,-9.9658,1.9302,-9.9658,-5.0116,-9.9658,-2.8262,-9.9658,1.0079,-9.9658,-3.458,-9.9658,-9.9658,1.6875,3.8621,-0.5973,3.7127,3.2915,4.9079,-9.9658,2.8117,-2.8262,3.8461,-9.9658,-2.4659,-9.9658,-5.5735,4.3097
GTEX-XPVG-1026-SM-4B64Y,-9.9658,-9.9658,-9.9658,5.5647,2.1862,-2.3147,4.8968,-3.0469,-9.9658,9.9722,-4.035,-9.9658,5.7112,-9.9658,0.2642,2.0325,-3.0469,-9.9658,-9.9658,-9.9658,-2.0529,6.9822,2.2051,4.1954,-9.9658,-9.9658,1.6964,-9.9658,-2.0529,-9.9658,-9.9658,1.3454,-9.9658,-9.9658,-3.3076,-9.9658,4.4101,-9.9658,-9.9658,-0.3022,3.1491,-5.5735,-0.1504,-4.2934,-9.9658,6.5514,-9.9658,-0.7588,-9.9658,-9.9658,2.685,-9.9658,5.2373,-5.5735,-3.0469,-4.035,3.5633,-9.9658,-1.9379,-0.8084,7.523,2.3423,7.3543,-9.9658,-9.9658,-2.1779,-1.0262,-2.8262,5.5865,-9.9658,-9.9658,-0.2328,-9.9658,-9.9658,1.9675,1.6604,-9.9658,-9.9658,-9.9658,-1.685,2.2603,-9.9658,-0.2671,-9.9658,-9.9658,3.208,4.0952,-1.5951,3.2572,4.3299,0.3796,-2.0529,1.8036,-9.9658,3.0127,-9.9658,0.688,-9.9658,-3.816,-1.9379
GTEX-WYBS-1026-SM-4ONCY,-1.2481,-9.9658,-9.9658,5.2032,1.1706,-9.9658,5.5119,-6.5064,-9.9658,10.5559,-9.9658,-9.9658,5.6651,-9.9658,7.0351,1.9073,-4.2934,-9.9658,-2.0529,-9.9658,-1.2828,6.8852,1.9302,4.8978,-9.9658,-9.9658,3.3703,-9.9658,-2.1779,-5.5735,-1.7809,-5.0116,-3.0469,-9.9658,-3.458,-9.9658,4.5534,-9.9658,-9.9658,-2.2447,3.3814,-9.9658,0.8408,-3.0469,-9.9658,6.5589,-9.9658,0.1388,-9.9658,-5.0116,2.5658,-9.9658,5.8841,-5.0116,-2.3147,-2.4659,2.5288,-9.9658,-1.7809,-3.6259,7.0527,3.9459,7.2561,-9.9658,-9.9658,-9.9658,-2.114,-9.9658,6.0672,-9.9658,2.2051,1.196,-9.9658,-9.9658,1.614,-9.9658,-3.6259,-9.9658,-9.9658,-9.9658,-0.1665,-9.9658,-9.9658,-9.9658,-9.9658,3.7039,3.7496,-1.2481,2.1147,4.322,3.1458,-1.2481,1.9931,-9.9658,2.9356,-9.9658,1.5758,-4.2934,-3.458,-9.9658
GTEX-ZPCL-1426-SM-57WEC,-9.9658,-9.9658,-5.5735,5.1023,1.949,-0.7588,5.082,-1.0559,-9.9658,9.8357,-4.035,-3.458,5.7123,-9.9658,3.9654,-2.5479,-9.9658,-9.9658,-9.9658,-9.9658,-3.3076,5.2388,1.5514,3.4291,-9.9658,-9.9658,1.5064,-9.9658,-2.0529,-2.8262,-9.9658,-2.7274,-3.458,-9.9658,-2.2447,-9.9658,4.3148,-9.9658,-9.9658,-1.3183,5.005,-9.9658,0.2762,-5.5735,-3.3076,5.964,-9.9658,-1.2828,-9.9658,3.6148,2.6783,-9.9658,1.9638,-4.035,-3.0469,-2.5479,4.2088,-9.9658,-9.9658,-4.2934,5.9579,-1.0559,3.0859,-9.9658,-3.3076,-0.1828,0.099,-1.2142,7.1438,2.496,2.1247,-1.2828,-9.9658,-9.9658,2.081,-2.3884,-9.9658,-9.9658,-9.9658,-9.9658,1.1897,-9.9658,-2.8262,-9.9658,-9.9658,4.5129,2.6579,-1.4699,2.043,4.4964,0.8726,-2.5479,3.945,-9.9658,3.3119,-9.9658,5.7471,-9.9658,-3.3076,-0.5973
TCGA-21-1083-01,-9.9658,-9.9658,-4.6082,4.7898,2.3451,-1.9379,5.9798,2.5707,-1.4699,10.5815,-9.9658,-2.8262,5.1094,-4.2934,-3.816,-1.3921,-3.6259,-9.9658,-9.9658,-9.9658,-1.7322,2.8442,0.7321,1.7828,-9.9658,-9.9658,0.4657,-9.9658,-2.8262,-1.5951,-9.9658,-1.9942,-5.0116,-4.035,-9.9658,-9.9658,6.6502,-9.9658,-9.9658,0.2029,4.7005,-9.9658,-0.5973,1.7316,-0.2159,7.0811,-9.9658,-1.685,-9.9658,-9.9658,3.074,-9.9658,1.9822,-9.9658,-5.0116,-1.685,4.4739,-9.9658,-4.6082,-9.9658,6.6829,2.4857,6.9576,-9.9658,2.0004,-1.7809,-0.7588,-3.6259,4.3177,-5.5735,0.679,-0.8084,-9.9658,-9.9658,2.4831,-1.8836,-6.5064,-9.9658,-9.9658,-9.9658,4.1351,-9.9658,-9.9658,-5.0116,-9.9658,4.6265,2.4701,-0.7346,1.8918,3.992,4.3306,-1.4305,2.5924,-9.9658,3.0463,-9.9658,-4.2934,-4.6082,-4.035,3.7898
TCGA-AJ-A3BI-01,-9.9658,-9.9658,-9.9658,4.7005,-0.8599,1.2934,1.0915,-0.5125,-9.9658,10.972,-9.9658,-9.9658,3.0217,-9.9658,-0.3022,0.1648,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-2.9324,-4.035,0.3573,-9.9658,-9.9658,1.6045,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-2.8262,-9.9658,-9.9658,-9.9658,5.5205,-9.9658,-9.9658,-3.458,1.1641,-9.9658,-9.9658,-2.0529,-9.9658,6.206,-9.9658,-2.0529,-9.9658,-2.114,0.7832,-9.9658,4.0653,-9.9658,-9.9658,0.0854,5.9752,-9.9658,-9.9658,-9.9658,6.4306,-0.4325,9.153,-9.9658,-0.6416,-9.9658,-2.6349,-9.9658,6.3775,-4.6082,-9.9658,-9.9658,-9.9658,-9.9658,1.0847,-2.7274,-5.0116,-9.9658,-9.9658,-9.9658,2.328,-9.9658,-9.9658,-5.5735,-9.9658,1.2992,-0.9132,-1.7809,1.2875,1.4174,0.4125,-9.9658,-0.7588,-9.9658,3.2526,-9.9658,-5.5735,-9.9658,-9.9658,-4.2934
GTEX-Y114-2626-SM-4TT8Y,-9.9658,-9.9658,-5.0116,5.9055,2.108,-5.0116,4.3335,-9.9658,-9.9658,10.0897,-9.9658,-2.7274,5.4654,-9.9658,0.5568,0.547,-2.4659,-9.9658,-3.6259,-9.9658,-1.3921,4.2586,3.2189,6.3322,-9.9658,-9.9658,2.9674,-9.9658,-2.7274,-5.5735,-9.9658,-2.3884,-4.035,-9.9658,-9.9658,-9.9658,5.3144,-9.9658,-9.9658,0.4447,4.2134,-2.6349,-0.5756,-4.035,-2.3884,6.7674,-9.9658,5.2961,-9.9658,-9.9658,1.9377,-5.0116,5.8402,-9.9658,-3.816,0.6145,3.7762,-9.9658,-1.8836,-4.035,6.7918,-0.8084,3.8116,-9.9658,-9.9658,-9.9658,-0.2845,-2.4659,4.8802,-9.9658,1.1577,0.3231,-9.9658,-9.9658,2.2901,-1.0262,-9.9658,-9.9658,-1.9379,-9.9658,0.7321,-9.9658,-2.5479,-9.9658,-9.9658,4.1169,3.5486,-3.1714,4.1178,4.2773,4.0357,-0.7588,-2.8262,-9.9658,3.5111,-9.9658,1.9452,-9.9658,-3.6259,-9.9658
TARGET-30-PAPTFZ-01,-9.9658,-9.9658,-4.2934,3.573,-0.1665,3.992,6.7648,-2.0529,-3.6259,11.4065,-9.9658,-9.9658,4.6439,-9.9658,-5.0116,-0.0725,-4.035,-9.9658,-9.9658,-9.9658,-2.6349,-2.2447,2.2633,2.7931,-3.0469,-9.9658,4.1939,-9.9658,-3.1714,-1.3183,-9.9658,-3.3076,-6.5064,-9.9658,-2.7274,-5.0116,7.1864,-9.9658,-9.9658,-0.2498,3.0145,-9.9658,-0.1504,-5.5735,-3.6259,6.304,-9.9658,6.5122,-9.9658,-9.9658,2.2299,-9.9658,2.3479,-9.9658,-1.6394,4.6843,4.6053,-9.9658,-9.9658,-4.6082,5.2559,-1.0559,4.1425,-9.9658,-9.9658,-3.1714,1.0779,-1.1172,4.5072,-9.9658,3.3979,-0.1828,-9.9658,-2.9324,1.7009,-2.5479,-2.3884,-9.9658,-9.9658,-9.9658,-3.816,-9.9658,-1.6394,-9.9658,-9.9658,1.5709,1.7229,-3.1714,4.906,3.9663,-4.035,-0.7834,3.0376,-9.9658,3.2766,-9.9658,-2.6349,-9.9658,-4.6082,0.4761
